uni_name,domain,count
Carnegie Mellon University,cmu.edu,121544
MIT,mit.edu,402970
Berkeley,berkeley.edu,218796
Stanford,stanford.edu,220344
UIUC,uiuc.edu,34456
Gatech,gatech.edu,46681
Umich,umich.edu,141368
Cornell,cornell.edu,108830
Utexas,utexas.edu,109053
Caltech,caltech.edu,26403
